transaction_date,units_sold,revenue,day_of_week,is_weekend,month,day_of_month,lag_1,lag_7,rolling_mean_7,rolling_mean_14,rolling_std_7,store_location_Astoria,store_location_Hell's Kitchen,store_location_Lower Manhattan,product_category_Bakery,product_category_Branded,product_category_Coffee,product_category_Coffee beans,product_category_Drinking Chocolate,product_category_Flavours,product_category_Loose Tea,product_category_Packaged Chocolate,product_category_Tea
2023-01-15,38,132.0,6,True,1,15,13.0,42.0,28.0,27.142857142857142,9.678154093971983,True,False,False,True,False,False,False,False,False,False,False,False
2023-01-16,31,108.75,0,False,1,16,38.0,23.0,27.428571428571427,28.642857142857142,8.79122939558025,True,False,False,True,False,False,False,False,False,False,False,False
2023-01-17,25,90.0,1,False,1,17,31.0,37.0,28.571428571428573,28.285714285714285,8.638231741453087,True,False,False,True,False,False,False,False,False,False,False,False
2023-01-18,34,120.75,2,False,1,18,25.0,23.0,26.857142857142858,28.5,7.840675383931571,True,False,False,True,False,False,False,False,False,False,False,False
2023-01-19,31,109.25,3,False,1,19,34.0,31.0,28.428571428571427,29.285714285714285,8.038597366397177,True,False,False,True,False,False,False,False,False,False,False,False
2023-01-20,57,203.0,4,False,1,20,31.0,27.0,28.428571428571427,29.357142857142858,8.038597366397177,True,False,False,True,False,False,False,False,False,False,False,False
2023-01-21,19,64.75,5,True,1,21,57.0,13.0,32.714285714285715,31.357142857142858,13.375528471980534,True,False,False,True,False,False,False,False,False,False,False,False
2023-01-22,20,75.0,6,True,1,22,19.0,38.0,33.57142857142857,30.785714285714285,12.025765988869383,True,False,False,True,False,False,False,False,False,False,False,False
2023-01-23,26,95.5,0,False,1,23,20.0,31.0,31.0,29.214285714285715,12.819256348686272,True,False,False,True,False,False,False,False,False,False,False,False
2023-01-24,34,122.25,1,False,1,24,26.0,25.0,30.285714285714285,29.428571428571427,12.957806986707352,True,False,False,True,False,False,False,False,False,False,False,False
2023-01-25,26,89.0,2,False,1,25,34.0,34.0,31.571428571428573,29.214285714285715,12.791366135759214,True,False,False,True,False,False,False,False,False,False,False,False
2023-01-26,27,97.25,3,False,1,26,26.0,31.0,30.428571428571427,29.428571428571427,12.895181824453436,True,False,False,True,False,False,False,False,False,False,False,False
2023-01-27,25,89.5,4,False,1,27,27.0,57.0,29.857142857142858,29.142857142857142,12.954131534360911,True,False,False,True,False,False,False,False,False,False,False,False
2023-01-28,21,73.5,5,True,1,28,25.0,19.0,25.285714285714285,29.0,4.956957592256412,True,False,False,True,False,False,False,False,False,False,False,False
2023-01-29,27,95.75,6,True,1,29,21.0,20.0,25.571428571428573,29.571428571428573,4.577377082170625,True,False,False,True,False,False,False,False,False,False,False,False
2023-01-30,30,106.75,0,False,1,30,27.0,26.0,26.571428571428573,28.785714285714285,3.866830866792713,True,False,False,True,False,False,False,False,False,False,False,False
2023-01-31,21,76.5,1,False,1,31,30.0,34.0,27.142857142857142,28.714285714285715,4.059087394500199,True,False,False,True,False,False,False,False,False,False,False,False
2023-02-01,30,103.0,2,False,2,1,21.0,26.0,25.285714285714285,28.428571428571427,3.3022358947782373,True,False,False,True,False,False,False,False,False,False,False,False
2023-02-02,31,107.5,3,False,2,2,30.0,27.0,25.857142857142858,28.142857142857142,3.7606990231680424,True,False,False,True,False,False,False,False,False,False,False,False
2023-02-03,31,108.0,4,False,2,3,31.0,25.0,26.428571428571427,28.142857142857142,4.237025012007941,True,False,False,True,False,False,False,False,False,False,False,False
2023-02-04,27,94.25,5,True,2,4,31.0,21.0,27.285714285714285,26.285714285714285,4.498677054212182,True,False,False,True,False,False,False,False,False,False,False,False
2023-02-05,35,121.5,6,True,2,5,27.0,27.0,28.142857142857142,26.857142857142858,3.579039509354958,True,False,False,True,False,False,False,False,False,False,False,False
2023-02-06,25,92.5,0,False,2,6,35.0,30.0,29.285714285714285,27.928571428571427,4.347960660443226,True,False,False,True,False,False,False,False,False,False,False,False
2023-02-07,27,97.75,1,False,2,7,25.0,21.0,28.571428571428573,27.857142857142858,4.6136443605586095,True,False,False,True,False,False,False,False,False,False,False,False
2023-02-08,38,140.25,2,False,2,8,27.0,30.0,29.428571428571427,27.357142857142858,3.3594217189442412,True,False,False,True,False,False,False,False,False,False,False,False
2023-02-09,23,82.0,3,False,2,9,38.0,31.0,30.571428571428573,28.214285714285715,4.685336802448782,True,False,False,True,False,False,False,False,False,False,False,False
2023-02-10,24,85.25,4,False,2,10,23.0,31.0,29.428571428571427,27.928571428571427,5.472876844254852,True,False,False,True,False,False,False,False,False,False,False,False
2023-02-11,17,61.75,5,True,2,11,24.0,27.0,28.428571428571427,27.857142857142858,5.769377287516761,True,False,False,True,False,False,False,False,False,False,False,False
2023-02-12,29,99.5,6,True,2,12,17.0,35.0,27.0,27.571428571428573,7.234178138070232,True,False,False,True,False,False,False,False,False,False,False,False
2023-02-13,20,72.75,0,False,2,13,29.0,25.0,26.142857142857142,27.714285714285715,6.440201120787333,True,False,False,True,False,False,False,False,False,False,False,False
2023-02-14,14,50.0,1,False,2,14,20.0,27.0,25.428571428571427,27.0,6.852180744287243,True,False,False,True,False,False,False,False,False,False,False,False
2023-02-15,38,133.75,2,False,2,15,14.0,38.0,23.571428571428573,26.5,8.017837257372724,True,False,False,True,False,False,False,False,False,False,False,False
2023-02-16,39,136.25,3,False,2,16,38.0,23.0,23.571428571428573,27.071428571428573,8.017837257372724,True,False,False,True,False,False,False,False,False,False,False,False
2023-02-17,37,131.5,4,False,2,17,39.0,24.0,25.857142857142858,27.642857142857142,9.889869756954525,True,False,False,True,False,False,False,False,False,False,False,False
2023-02-18,36,126.5,5,True,2,18,37.0,17.0,27.714285714285715,28.071428571428573,10.67261738772462,True,False,False,True,False,False,False,False,False,False,False,False
2023-02-19,36,125.75,6,True,2,19,36.0,29.0,30.428571428571427,28.714285714285715,9.880235200593539,True,False,False,True,False,False,False,False,False,False,False,False
2023-02-20,56,193.0,0,False,2,20,36.0,20.0,31.428571428571427,28.785714285714285,10.064080399406313,True,False,False,True,False,False,False,False,False,False,False,False
2023-02-21,19,68.25,1,False,2,21,56.0,14.0,36.57142857142857,31.0,12.21825332384766,True,False,False,True,False,False,False,False,False,False,False,False
2023-02-22,30,109.0,2,False,2,22,19.0,38.0,37.285714285714285,30.428571428571427,10.734900802433874,True,False,False,True,False,False,False,False,False,False,False,False
2023-02-23,31,110.5,3,False,2,23,30.0,39.0,36.142857142857146,29.857142857142858,11.06689615367338,True,False,False,True,False,False,False,False,False,False,False,False
2023-02-24,33,116.25,4,False,2,24,31.0,37.0,35.0,30.428571428571427,11.13552872566005,True,False,False,True,False,False,False,False,False,False,False,False
2023-02-25,25,84.5,5,True,2,25,33.0,36.0,34.42857142857143,31.071428571428573,11.118410300894986,True,False,False,True,False,False,False,False,False,False,False,False
2023-02-26,26,90.5,6,True,2,26,25.0,36.0,32.857142857142854,31.642857142857142,11.625096005747963,True,False,False,True,False,False,False,False,False,False,False,False
2023-02-27,30,104.5,0,False,2,27,26.0,56.0,31.428571428571427,31.428571428571427,11.787806452108935,True,False,False,True,False,False,False,False,False,False,False,False
2023-02-28,22,79.25,1,False,2,28,30.0,19.0,27.714285714285715,32.142857142857146,4.7509397566616824,True,False,False,True,False,False,False,False,False,False,False,False
2023-03-01,32,114.25,2,False,3,1,22.0,30.0,28.142857142857142,32.714285714285715,3.8913824205360688,True,False,False,True,False,False,False,False,False,False,False,False
2023-03-02,36,127.25,3,False,3,2,32.0,31.0,28.428571428571427,32.285714285714285,4.117326918327104,True,False,False,True,False,False,False,False,False,False,False,False
2023-03-03,32,109.75,4,False,3,3,36.0,33.0,29.142857142857142,32.07142857142857,4.980915960897537,True,False,False,True,False,False,False,False,False,False,False,False
2023-03-04,34,117.5,5,True,3,4,32.0,25.0,29.0,31.714285714285715,4.8648398397754775,True,False,False,True,False,False,False,False,False,False,False,False
2023-03-05,36,126.5,6,True,3,5,34.0,26.0,30.285714285714285,31.571428571428573,4.820590756130962,True,False,False,True,False,False,False,False,False,False,False,False
2023-03-06,35,123.5,0,False,3,6,36.0,30.0,31.714285714285715,31.571428571428573,4.820590756130966,True,False,False,True,False,False,False,False,False,False,False,False
2023-03-07,33,114.5,1,False,3,7,35.0,22.0,32.42857142857143,30.071428571428573,4.894116973712525,True,False,False,True,False,False,False,False,False,False,False,False
2023-03-08,70,255.0,2,False,3,8,33.0,32.0,34.0,31.071428571428573,1.7320508075689185,True,False,False,True,False,False,False,False,False,False,False,False
2023-03-09,32,114.5,3,False,3,9,70.0,36.0,39.42857142857143,33.92857142857143,13.562904591288007,True,False,False,True,False,False,False,False,False,False,False,False
2023-03-10,30,109.25,4,False,3,10,32.0,32.0,38.857142857142854,34.0,13.813382055439,True,False,False,True,False,False,False,False,False,False,False,False
2023-03-11,24,87.25,5,True,3,11,30.0,34.0,38.57142857142857,33.785714285714285,13.998299216418445,True,False,False,True,False,False,False,False,False,False,False,False
2023-03-12,31,107.25,6,True,3,12,24.0,36.0,37.142857142857146,33.714285714285715,15.015864626327406,True,False,False,True,False,False,False,False,False,False,False,False
2023-03-13,30,104.75,0,False,3,13,31.0,35.0,36.42857142857143,34.07142857142857,15.197117521174242,True,False,False,True,False,False,False,False,False,False,False,False
2023-03-14,18,64.75,1,False,3,14,30.0,33.0,35.714285714285715,34.07142857142857,15.391710817994277,True,False,False,True,False,False,False,False,False,False,False,False
2023-03-15,42,148.25,2,False,3,15,18.0,70.0,33.57142857142857,33.785714285714285,16.8112773940307,True,False,False,True,False,False,False,False,False,False,False,False
2023-03-16,37,131.25,3,False,3,16,42.0,32.0,29.571428571428573,34.5,7.390470053998421,True,False,False,True,False,False,False,False,False,False,False,False
2023-03-17,42,149.0,4,False,3,17,37.0,30.0,30.285714285714285,34.57142857142857,7.889112449325025,True,False,False,True,False,False,False,False,False,False,False,False
2023-03-18,37,129.75,5,True,3,18,42.0,24.0,32.0,35.285714285714285,9.036961141150636,True,False,False,True,False,False,False,False,False,False,False,False
2023-03-19,35,121.25,6,True,3,19,37.0,31.0,33.857142857142854,35.5,8.43462252521458,True,False,False,True,False,False,False,False,False,False,False,False
2023-03-20,71,251.0,0,False,3,20,35.0,30.0,34.42857142857143,35.42857142857143,8.343802947040857,True,False,False,True,False,False,False,False,False,False,False,False
2023-03-21,25,88.0,1,False,3,21,71.0,18.0,40.285714285714285,38.0,15.787276371752526,True,False,False,True,False,False,False,False,False,False,False,False
2023-03-22,33,121.0,2,False,3,22,25.0,42.0,41.285714285714285,37.42857142857143,14.29118942698947,True,False,False,True,False,False,False,False,False,False,False,False
2023-03-23,34,121.0,3,False,3,23,33.0,37.0,40.0,34.785714285714285,14.617341299520477,True,False,False,True,False,False,False,False,False,False,False,False
2023-03-24,33,118.75,4,False,3,24,34.0,42.0,39.57142857142857,34.92857142857143,14.763210387730078,True,False,False,True,False,False,False,False,False,False,False,False
2023-03-25,26,90.5,5,True,3,25,33.0,37.0,38.285714285714285,35.142857142857146,14.907652237629355,True,False,False,True,False,False,False,False,False,False,False,False
2023-03-26,41,143.5,6,True,3,26,26.0,35.0,36.714285714285715,35.285714285714285,15.628118736370524,True,False,False,True,False,False,False,False,False,False,False,False
2023-03-27,37,132.5,0,False,3,27,41.0,71.0,37.57142857142857,36.0,15.682869028094993,True,False,False,True,False,False,False,False,False,False,False,False
2023-03-28,20,71.25,1,False,3,28,37.0,25.0,32.714285714285715,36.5,5.677860093212513,True,False,False,True,False,False,False,False,False,False,False,False
2023-03-29,39,138.5,2,False,3,29,20.0,33.0,32.0,36.642857142857146,6.976149845485445,True,False,False,True,False,False,False,False,False,False,False,False
